账户,证券代码,证券名称,买卖,成交量,成交均价,成交金额
"7900000219","002486.SZ","嘉麟杰","买入","700","4.07","2849"
"7900000219","300651.SZ","金陵体育","买入","300","38.393333","11517.9999"
"7900000219","300676.SZ","华大基因","卖出","2700","177.112592592593","478204"
"7900000219","603986.SH","兆易创新","卖出","1000","234.11","234110"
"7900000219","002819.SZ","东方中科","买入","100","26.68","2668"
"7900000219","603716.SH","塞力斯","买入","200","17.9","3580"
"7900000219","000818.SZ","航锦科技","买入","5500","25.6272727272727","140950"
"7900000219","002092.SZ","中泰化学","买入","8300","5.87084337349398","48728"
"7900000219","600372.SH","中航电子","买入","5400","18.2592591666667","98599.9995"
"7900000219","002898.SZ","赛隆药业","买入","200","13.875","2775"
"7900000219","000951.SZ","中国重汽","买入","300","36.9233333333333","11077"
"7900000219","000007.SZ","全新好","买入","600","8.86","5316"
"7900000219","603500.SH","祥和实业","买入","500","16.5","8250"
"7900000219","603739.SH","蔚蓝生物","买入","700","30.0457142857143","21032"
"7900000219","600126.SH","杭钢股份","买入","4600","8.2","37720"
"7900000219","603878.SH","武进不锈","买入","300","8.42","2526"
"7900000219","000906.SZ","浙商中拓","买入","400","6.595","2638"
"7900000219","300251.SZ","光线传媒","买入","9400","14.0609574468085","132173"
"7900000219","601628.SH","中国人寿","卖出","20000","40.33729994","806745.9988"
"7900000219","002578.SZ","闽发铝业","买入","5700","4.13","23541"
"7900000219","600749.SH","西藏旅游","卖出","1100","13.03","14333"
"7900000219","002836.SZ","新宏泽","买入","400","13.445","5378"
"7900000219","300174.SZ","元力股份","买入","700","20.2257142857143","14158"
"7900000219","600203.SH","福日电子","买入","1100","9.03","9933"
"7900000219","603881.SH","数据港","买入","1200","93.7033333333333","112444"
"7900000219","002125.SZ","湘潭电化","买入","2000","8.4695","16939"
"7900000219","600966.SH","博汇纸业","买入","5500","12.8670908","70768.9994"
"7900000219","600961.SH","株冶集团","卖出","9900","9.43161616161616","93373"
"7900000219","603990.SH","麦迪科技","买入","1100","48.1072727272727","52918"
"7900000219","300316.SZ","晶盛机电","买入","1400","25.9842857142857","36378"
"7900000219","002921.SZ","联诚精密","买入","100","22.35","2235"
"7900000219","300329.SZ","海伦钢琴","买入","1300","8.16","10608"
"7900000219","000011.SZ","深物业A","卖出","900","31.5122222222222","28361"
"7900000219","000875.SZ","吉电股份","买入","63300","4.45","281685"
"7900000219","601118.SH","海南橡胶","买入","1300","5.48","7124"
"7900000219","300132.SZ","青松股份","买入","1900","23.6994736842105","45029"
"7900000219","600150.SH","中国船舶","买入","4800","21.1472916666667","101507"
"7900000219","000732.SZ","泰禾集团","买入","10500","5.71","59955"
