账户,备注,代码,名称,昨日余额,当前余额,可用数,冻结数,今日买入,今日卖出,成本价,最新价,涨跌,参考市值,盈亏比率,参考盈亏,SymbolFull
7900000219,ct12,603578,三星新材,600,600,600,0,0,0,24.86,24.51,1.07%,14706.00,-1.40%,-209.40,603578.SH
7900000219,ct12,603579,荣泰健康,800,800,800,0,0,0,34.60,35.81,2.55%,28648.00,3.49%,964.80,603579.SH
7900000219,ct12,603580,艾艾精工,100,100,100,0,0,0,12.95,13.10,1.95%,1310.00,1.14%,14.80,603580.SH
7900000219,ct12,603583,捷昌驱动,780,780,780,0,0,0,-7.54,58.63,3.04%,45731.40,-877.28%,51614.94,603583.SH
7900000219,ct12,603588,高能环境,5200,5800,5200,0,600,0,14.14,15.95,1.01%,92510.00,12.82%,10509.36,603588.SH
7900000219,ct12,603589,口子窖,100,100,100,0,0,0,49.64,49.98,0.97%,4998.00,0.69%,34.30,603589.SH
7900000219,ct12,603590,康辰药业,2000,2000,0,0,2000,2000,49.41,53.50,1.90%,107000.00,8.28%,8186.35,603590.SH
7900000219,ct12,603595,东尼电子,100,100,100,0,0,0,29.94,31.60,2.07%,3160.00,5.53%,165.60,603595.SH
7900000219,ct12,603596,伯特利,900,1000,900,0,100,0,37.55,38.02,1.47%,38020.00,1.26%,472.66,603596.SH
7900000219,ct12,603599,广信股份,300,300,300,0,0,0,17.98,17.90,-1.10%,5370.00,-0.46%,-24.90,603599.SH
7900000219,ct12,603600,永艺股份,5300,5300,5300,0,0,0,14.99,15.26,2.69%,80878.00,1.79%,1425.70,603600.SH
7900000219,ct12,603602,纵横通信,100,100,100,0,0,0,15.35,15.63,0.90%,1563.00,1.81%,27.80,603602.SH
7900000219,ct12,603603,博天环境,8300,8300,8300,0,0,0,8.33,8.24,-0.24%,68392.00,-1.12%,-771.90,603603.SH
7900000219,ct12,603607,京华激光,100,200,100,0,100,0,16.41,16.44,-0.24%,3288.00,0.17%,5.47,603607.SH
7900000219,ct12,603608,天创时尚,65200,61600,61600,0,0,3600,11.91,10.08,10.04%,620928.00,-15.37%,-112757.08,603608.SH
7900000219,ct12,603609,禾丰牧业,1400,1400,1400,0,0,0,15.80,16.35,0.12%,22890.00,3.45%,764.40,603609.SH
7900000219,ct12,603611,诺力股份,1500,1500,1500,0,0,0,23.30,21.58,-0.05%,32370.00,-7.39%,-2581.50,603611.SH
7900000219,ct12,603612,索通发展,1700,1700,0,0,1700,1700,14.06,14.96,-1.58%,25432.00,6.43%,1537.27,603612.SH
7900000219,ct12,603616,韩建河山,700,700,700,0,0,0,7.52,7.33,0.83%,5131.00,-2.54%,-133.70,603616.SH
7900000219,ct12,603617,君禾股份,3119,3119,3119,0,0,0,12.40,11.96,-0.83%,37303.24,-3.58%,-1384.84,603617.SH
7900000219,ct12,603618,杭电股份,1000,1000,1000,0,0,0,6.13,6.06,2.02%,6060.00,-1.19%,-73.00,603618.SH
7900000219,ct12,603619,中曼石油,200,200,200,0,0,0,13.00,12.97,-0.92%,2594.00,-0.25%,-6.40,603619.SH
7900000219,ct12,603626,科森科技,3800,3800,3800,0,0,0,14.87,15.19,-0.59%,57722.00,2.15%,1212.20,603626.SH
7900000219,ct12,603628,清源股份,100,100,100,0,0,0,8.28,8.76,4.91%,876.00,5.78%,47.90,603628.SH
7900000219,ct12,603630,拉芳家化,7500,7500,1300,0,6200,6200,18.29,20.43,10.02%,153225.00,11.68%,16021.55,603630.SH
7900000219,ct12,603636,南威软件,1200,1200,0,0,1200,1200,13.56,14.44,9.98%,17328.00,6.49%,1055.71,603636.SH
7900000219,ct12,603638,艾迪精密,1400,1400,1400,0,0,0,53.78,59.10,1.09%,82740.00,9.89%,7445.20,603638.SH
7900000219,ct12,603639,海利尔,200,200,200,0,0,0,21.64,21.95,0.09%,4390.00,1.45%,62.60,603639.SH
7900000219,ct12,603648,畅联股份,200,200,200,0,0,0,9.54,10.37,2.88%,2074.00,8.69%,165.80,603648.SH
7900000219,ct12,603650,彤程新材,6400,0,0,0,0,6400,--,34.20,2.03%,0.00,--,0.00,603650.SH
7900000219,ct12,603655,朗博科技,300,400,300,0,100,0,28.34,28.42,-0.28%,11368.00,0.27%,30.20,603655.SH
7900000219,ct12,603656,泰禾光电,100,100,100,0,0,0,14.93,15.03,1.01%,1503.00,0.66%,9.80,603656.SH
7900000219,ct12,603658,安图生物,100,300,100,0,200,0,161.94,162.72,-1.45%,48816.00,0.48%,233.97,603658.SH
7900000219,ct12,603659,璞泰来,400,0,0,0,0,400,--,106.39,4.65%,0.00,--,0.00,603659.SH
7900000219,ct12,603660,苏州科达,81500,81500,81500,0,0,0,10.01,9.03,0.78%,735944.98,-9.75%,-79462.52,603660.SH
7900000219,ct12,603661,恒林股份,800,800,800,0,0,0,56.35,62.73,2.18%,50184.00,11.31%,5100.80,603661.SH
7900000219,ct12,603663,三祥新材,4600,4600,4600,0,0,0,17.63,19.70,-0.76%,90620.00,11.72%,9503.60,603663.SH
7900000219,ct12,603665,康隆达,1200,1700,1200,0,500,0,21.43,21.17,-3.77%,35989.00,-1.23%,-449.95,603665.SH
7900000219,ct12,603666,亿嘉和,800,800,800,0,0,0,109.91,112.66,3.08%,90128.00,2.50%,2200.80,603666.SH
